country, orderID, totalCost
Tuvalu,669165933,1582243.5
Grenada,963881480,328376.44
Russia,341417157,933903.84
Sao Tome and Principe,514321792,56065.84
Rwanda,115456712,2657347.52
Solomon Islands,547995746,2657348.52
Angola,135425221,2104134.98
Burkina Faso,871543967,734896.26
Burkina Faso,770463311,343986.9
Burkina Faso,616607081,772106.23
Burkina Faso,814711606,11275.32
Burkina Faso,814711607,149381.12
Burkina Faso,187310731,296145.92
Burkina Faso,522840487,4509793.96
Burkina Faso,832401311,277739.67
Burkina Faso,972292029,59960.32
Burkina Faso,419123971,1830670.16
Burkina Faso,519820964,172619.7
Burkina Faso,441619336,1924728.2
Burkina Faso,322067916,2154588.52
Burkina Faso,819028031,1187679
Burkina Faso,860673511,202941.66
Burkina Faso,795490682,216804
Burkina Faso,142278373,15134.04
Burkina Faso,740147912,287316.9
Burkina Faso,898523128,477943.95
Kiribati,347140347,37354.16
Mali,686048400,40288.24
Norway,435608613,162891.96
The Gambia,886494815,1191019.8
Switzerland,249693334,2280701.13
South Sudan,406502997,120423.75
Australia,158535134,1534983.04
Myanmar,177713572,4145955
Djibouti,756274640,713942.88
Costa Rica,456767165,363198.03
Syria,162052476,26185.28
The Gambia,825304400,1738477.23
Brunei,320009267,3521431.68
Bulgaria,189965903,2093015.52
Niger,699285638,170860.05
Azerbaijan,382392299,1904929.22
The Gambia,994022214,247921.87
Slovakia,759224212,15549.03
Myanmar,223359620,212531.2
Comoros,902102267,112659.82
Iceland,331438481,2334947.11
Switzerland,617667090,15470.91
Macedonia,787399423,281057.28
Mauritania,837559306,664599.36
Albania,385383069,81320.96
Lesotho,918419539,66473.52
Saudi Arabia,844530045,475817.93
Sierra Leone,441888415,1814786.72
Sao Tome and Principe,508980977,52848.04
Lesotho,114606559,124794.88
Lesotho,647876489,354995.2
Lesotho,868214595,749700.51
Lesotho,955357205,141716.28
Lesotho,259353148,1899925.95
Lesotho,450563752,79869.02
Lesotho,569662845,757245
Lesotho,177636754,2896729.28
Lesotho,705784308,219197.44
Lesotho,505716836,448977.65
Lesotho,699358165,1178928.41
Gabon,228944623,490535.52
Belize,807025039,197048.32
Lithuania,166460740,4350343.52
Madagascar,610425555,263137.28
Turkmenistan,462405812,2630049.6
Libya,816200339,4657.16
Democratic Republic of the Congo,585920464,182506.39
Djibouti,555990016,1013704.16
Pakistan,231145322,2604860.36
Mexico,986435210,3494663.16
Federated States of Micronesia,217221009,298158.41
Laos,789176547,339350.76
Monaco,688288152,1373243.88
Samoa ,670854651,2542187.82
Spain,213487374,2267963.02
Lebanon,663110148,282562.56
Iran,286959302,1708748.37
Zambia,122583663,398042.4
Iran,827844560,587135.01
Iran,430915820,363934.74
Iran,180283772,280673.91
Iran,494747245,886215.78
Iran,513417565,3612.24
Iran,345718562,148141.4
Iran,621386563,497662.08
Iran,240470397,298476.31
Iran,423331391,1060944.16
Iran,660643374,2082940.3
Iran,963392674,259279.24
Iran,512878119,31825.92
Iran,810711038,43367.64
Iran,728815257,135031.05
Iran,559427106,326815.89
Iran,665095412,2697132.18
